Overall,Bib,Name,Time
1,1,Scott Wietecha,2:40:25
2,1145,Ryan Regnier,2:56:28
3,1147,Daniel Everett,3:00:55
4,1029,Khris Vickroy,3:04:47
5,1119,Marcus Dilallo,3:04:53
6,1135,Edgar Garza,3:06:20
7,1129,brad sawa,3:06:47
8,1115,Chris Jones,3:08:35
9,1122,Peter Volgyesi,3:09:01
10,1117,Benjamin Saunders,3:09:13
11,1150,Greg Chaganos,3:09:47
12,2131,Michael Sklar,3:10:31
13,1032,Quentin Tran,3:11:32
14,1098,Corey Mandel,3:11:53
15,13105,Landon Sherwood,3:12:12
16,1130,Kazufumi Seki,3:14:40
17,1225,Guled Jama,3:15:02
18,1228,Hance Loyd,3:15:38
19,1238,Robert Moser,3:15:59
20,1031,Winston Guo,3:16:38
21,1134,Jadyn Stevens,3:17:19
22,1239,Whit Guthrie,3:17:20
23,101,Lauren Mitchell,3:17:32
24,2106,Brandon Holcomb,3:19:05
25,1110,Ryan Goodman,3:20:37
26,1091,Katlyn Will,3:17:17
27,2059,Jack Burger,3:21:03
28,1066,Chad Hintz,3:22:16
29,1116,Michael Bolt,3:23:14
30,2012,Samuel Weintraub,3:24:39
31,1019,John Lavelle,3:25:11
32,4069,Blanca Spence,3:25:11
33,2089,Amanda Beal,3:25:18
34,102,Lisa Steffes,3:25:15
35,1151,Zheng Gong,3:25:27
36,2042,Alexandra Stanojev,3:25:52
37,1027,Richard Johnston,3:25:56
38,1126,Kevin Laury,3:26:06
39,1108,Craig Myrum,3:26:42
40,2051,Jonathan Hill,3:28:27
41,1181,Mark Yurich,3:28:33
42,2086,Jessica Payne,3:28:49
43,1011,Andrew Bialecki,3:28:53
44,2085,Justin Lewis,3:28:55
45,1034,Alec Tripp,3:29:37
46,8168,Benjamin Davisson,3:29:54
47,2045,Renee Imbalzano Zegar,3:30:04
48,1014,Ben Neujahr,3:30:06
49,1057,Ben Saunders,3:30:10
50,2107,Troy Rowe,3:30:52
51,6031,Brian Irving,3:31:04
52,4041,Andrew Grattan,3:31:15
53,1111,Dylan Thayer,3:31:29
54,3021,Jennifer Fanning,3:31:40
55,3160,Mahlon Hellman,3:31:41
56,2044,Robert Plunkett,3:32:01
57,3128,Tien Le,3:32:19
58,1220,Derrick Kirkwood,3:32:38
59,11132,Todd Walter,3:32:50
60,2040,Tim Dittrich,3:32:52
61,6154,Arielle Schwartz,3:32:56
62,2123,Lauren Terrell,3:33:02
63,5081,Margaret Womble,3:33:37
64,5056,Hannah Dow,3:33:41
65,2099,Julie Hartenbach,3:33:51
66,5012,Shelly Gore,3:33:52
67,1026,Halle Cupp,3:33:59
68,1046,Wes Arnold,3:34:01
69,1104,Jamie Barnes,3:34:20
70,2060,Meaghan Hopkins,3:34:23
71,1050,Ben Carron,3:34:50
72,2055,Jonathan Williams,3:35:02
73,5077,Miguel Ortega,3:35:10
74,7008,Natalie Wilby,3:35:16
75,4125,Eddie Bell,3:35:31
76,3124,Krystal Cook,3:35:33
77,1211,Matt Miffleton,3:35:36
78,3168,Carl Ostrowski,3:36:01
79,1210,Patrick Columbia,3:36:35
80,2105,Hannah Cutshall,3:37:31
81,2024,Erich Watry,3:37:57
82,2069,Michael Wienandt,3:37:59
83,5059,Breah Mortenson,3:38:14
84,2029,Troy Embree,3:38:22
85,3114,Kim Noe,3:38:24
86,11116,Sue Anne Perry,3:38:36
87,3059,Curt Ehlinger,3:39:05
88,3134,Laura Brunner,3:39:15
89,4026,Douglas Heavilin,3:39:20
90,3108,Christopher Braun,3:39:53
91,19081,Tamara Stoddard,3:39:54
92,3159,Daniel Wells,3:39:55
93,6166,Zane Frick,3:40:00
94,2036,Garrett Burns,3:40:03
95,3122,Colleen Everett,3:40:11
96,4065,Mark Hagopian,3:40:25
97,2063,Christopher Smith,3:40:26
98,2043,James Bonomo,3:40:31
99,3030,Erik Johnson,3:40:40
100,1051,nathaniel pierce,3:41:23
101,5104,Liz Rich,3:41:23
102,1085,Robby Callahan,3:41:32
103,4080,Sean Crowder,3:41:41
104,2016,Rob Hudyncia,3:42:00
105,7179,Andy Schneider,3:42:15
106,3132,Jessica Banasiak,3:42:26
107,4072,Audrey Inman,3:42:31
108,2030,Larry Trimmer,3:42:50
109,2113,Jaclyn Shokey,3:42:52
110,2054,James Wood,3:43:01
111,2028,Brian Wright,3:43:08
112,9042,William Watterson,3:43:15
113,5051,Tavie Abell,3:43:15
114,7182,Emily Alsup,3:43:30
115,1055,Jim Hamilton,3:43:39
116,4110,Jonathan Lister,3:43:43
117,27018,Christopher Kane,3:43:49
118,3149,Travis Bourbon,3:43:52
119,8080,Sierra Stone,3:43:55
120,4063,Courtney Baker,3:44:00
121,3064,Dean Martin,3:44:05
122,4128,Edwin Reyes,3:44:12
123,2034,Matthew Goulding,3:44:19
124,5099,John Lee,3:44:21
125,7165,Bryan Kovach,3:44:26
126,3133,Melissa Scott,3:44:40
127,7109,Katherine Jensen,3:44:41
128,3002,Brett Visser,3:44:42
129,11045,Laura Turner,3:44:45
130,1030,Brian Cutlip,3:44:49
131,1048,Ben Mcqueary,3:44:51
132,1016,Amy Campbell,3:44:59
133,1004,Kelsey Williams,3:45:04
134,8144,Jason Rickard,3:45:21
135,14016,Lucas Novaes,3:45:23
136,4056,Chris Dhulster,3:45:40
137,4037,Christy Salmond,3:45:42
138,10135,Tyler Haar,3:45:50
139,1023,Derek Dalzell,3:45:53
140,1022,Quintin Memken,3:46:03
141,2108,Ryan Niemic,3:46:10
142,3046,Ramona Nee,3:46:20
143,7201,Claire Jacobs,3:46:25
144,3138,Meredith Hensley,3:46:49
145,1229,Aleksey Klenck,3:46:54
146,3111,Meggie Meyer,3:46:58
147,5045,Kyle Miller,3:46:58
148,2049,Kelsey Otten,3:47:03
149,1077,Eric Waterman,3:47:08
150,4106,Sam Friedman,3:47:09
151,7142,Susan Thorsheim,3:47:09
152,14002,Jennifer Taylor,3:47:12
153,11112,Adam Allie,3:47:14
154,20078,John Pollom,3:47:27
155,1072,Jay Benoit,3:47:32
156,4102,Elizabeth Herman,3:47:33
157,8145,Mark Toennis,3:47:39
158,2021,Alli Slater,3:47:41
159,4040,Jack Nance,3:47:43
160,4121,Jon Eichert,3:47:54
161,3106,Susanne Polhill,3:48:04
162,2015,Tatsuki Koyama,3:48:09
163,4024,Rachel Trotter,3:48:22
164,5031,Kathleen Fisher,3:48:28
165,1040,Ronald Kline,3:48:50
166,4042,Jonathan Turner,3:49:00
